convoid,person,dialogue
3,SDR,"11:00 is fine. Beautiful. I'm going to keep in touch with you, Mister. You've been really, really kind. You've given me tremendous time. I appreciate it. Looking forward to speaking with you a month and a half down the line."
3,Prospect,All right. Very good.
3,SDR,Thank you. Thank you so much. All the very best. Bye bye.
3,Prospect,"Thank you. All right, bye."
4,Prospect,Hello
4,SDR,Nancy?
4,Prospect,Yeah
4,SDR,"Nancy, it is Andrea Kleiman and I am an absolute stranger, so don't rack your brain trying to figure it out. I don't know you. You don't know me. A complete stranger here. Are you able to talk for a brief moment?"
4,Prospect,I have about a minute.
4,SDR,"Oh, beautiful. That's all I need. Okay, wonderful. Look, I was online and I was doing some research for another realtor in Tucson, and I actually came across your name. So I wanted to find out, are you still doing real estate? Are you doing it as a hobby or are you doing it as a career?"
4,Prospect,I'm doing it full time.
4,SDR,"Okay. You're doing it full time? Okay, wonderful. I know that you said I had a minute, so I don't want to be disrespectful, but I do marketing for realtors. I help you guys with web, social, and more. My quick question was, do you have any personal interest in improving your web presence for the future? Because I know it's a really, really, really hot market out there. You guys are doing very well and I just wanted to see if I can get some time with you another day and let you interview me. You're the boss. I'm just applying for the job—just interview me and see what I have to offer. But I really feel like there's an asset in me helping you."
4,Prospect,"First of all, I like your style. It's nice because I haven't hung up on you yet. So awesome. Second of all, I have a really good friend who is doing the same thing, who is trying to get me to do the same thing. And so I've just started working with her. We've just started a business Facebook page, doing a few things. And so honestly, I know I need some help, but I'll be working with her, though."
4,SDR,"This is heartbreaking. I'm actually crying right now. Nancy, you know, unfortunately, I was taught a long time ago that I gotta get at least 20 no's. We're only on no one right now."
4,Prospect,Okay.
4,SDR,"Look, look, here's the deal. I'm a good team player, right? I used to play football for years. I grew up here in San Diego. Most of my friends played professional football. My good friend Leroy Glover is actually getting inducted into the Hall of Fame. You probably know a lot of my friends. You know Marshall Faulk?"
4,Prospect,"No, I don't."
4,SDR,"Okay, you're not a football buff. Okay, fine. Whatever. Bottom line is, I'm all about teamwork. If you have someone that is going to participate in helping you grow your life and your business, first of all, congratulations, because realtors work so hard. And I know that you guys put a lot of time and energy into just learning new tools and new technology. So cheers to you for even taking a leap of faith in paying her to do that. How much are you paying her? Is this like $1,500 a month? Is this $2,000? How much do you gotta pay to make her do all this stuff for you?"
4,Prospect,"Well, in addition to her, I also have a coach, so I am well ingrained in that. I need help."
4,SDR,"Okay, rewind. How much are you paying this coach? Because I know what coaches charge. I travel quite a bit around the country. The last coach I met was charging $6,000."
4,Prospect,My coach isn't quite that expensive. But you know what? My time is truly up. I have a client walking in.
4,SDR,Okay.
4,Prospect,"And I've got to go. But I like your style. I think you're going to do fine. And here's your no, I'm sorry."
5,SDR,"Hey, this is Colin with Ledium here. I'm actually giving you a call for the first time. Do you have like half a minute? I can tell you exactly why I decided to cold call you today."
5,Prospect,Sure. Yeah.
5,SDR,"So the reason I'm reaching out is really just to introduce my company to you, Ledium. When I'm not calling you out of the blue, are you available like, say, Tuesday or Thursday around 09:00 your time next week?"
5,Prospect,For what?
5,SDR,"Yeah, I definitely want to make sure it's relevant. Again, I'm calling from Ledium. It's a bit of a small industry with what we do, but have you ever heard of us before?"
5,Prospect,"No, I haven't. Yeah."
5,SDR,"So we work with growth stage companies, helping them to supplement their sales development efforts."
5,Prospect,Really?
5,SDR,Just wanted to ask you a question. Have you ever evaluated the performance of your in-house team versus an outsourced sales development team?
5,Prospect,"I'm doing that currently now, yeah."
5,SDR,Awesome! And how have things been going?
5,Prospect,I don't know. I'm going to be running a pilot with an outside sales team.
5,SDR,Got it. Okay. When is that supposed to be getting kicked off?
5,Prospect,As soon as we make a decision. Probably in the next two weeks.
5,SDR,"Yeah. I mean, I know sometimes, you know, I'm not always so lucky for the timing to be as perfect as this, but what are the chances I could throw my hat in the ring to put us in there as an option? You know, would it be a terrible idea to get like 15 minutes?"
5,Prospect,"So tell me, tell me your spiel. Yeah. Help me understand what technologies you use. Yeah. Tell me what—let me give you a—I'll give you a real quick, high-level thing. Sure. I've already engaged with four different companies or competitors of yours. Yeah. So I'm reluctant to use you. Yeah. But here's your shot. Yeah. We're a major Microsoft partner. Yep. A lot of what we do is work with the Microsoft Teams and their VPs and their ten to twenty sales reps. And what I'm going to do is I'm going to develop a pilot around one of those VPs, probably in the Midwest around manufacturing as a vertical. So what I want to understand is how you would run this pilot. Yes. There's ten sales reps that we support. That's probably 1,000 to 5,000 enterprise customers. And I'll probably run this around the Power Platform. So it's going to be director level and above that I'm going to be having you guys reach out to. Yes."
5,SDR,"So, I mean, look, I know I'm calling you out of the blue. I'm more than willing to take my shot here, but without getting too deep in the weeds and getting too pitchy or salesy here on this call. You know, we're a small boutique firm. We only manage about 30 clients at a time. Our founders have been in business for over ten years. Funny story is, I actually used to be a customer of Ledium before I actually started working with them now as a partner. And they helped me scale a unified communications platform all the way to exit. So that's me taking my shot really quick in a short amount of time without taking up too much of your time. But why don't we do this? Just give me 15-20 minutes on the calendar, either Thursday or Friday, then we can get into a little bit more detail, a strategy of how I'd run the POC for you."
5,Prospect,"You're really late to the table on this. I don't have the time. So I'm looking for your pitch now. If you can't do it, that's fine, but I'm looking for your pitch now."
5,SDR,"Sure I could, but it would just be shooting off the hip a bit. Like I know a little bit about what you do. I didn't expect you to be actively buying for this right now. Doesn't always work out that way. If you want to give me 20 minutes, I can tell you it'd be worth it. And at the end of that 20 minutes, if you feel like it's not a good fit, we can part friends. I think that in 20 minutes you could hear enough to at least pop us up to your first or second choice before making a decision. What's the worst that could happen? Would Thursday or Friday work better for you?"
5,Prospect,Friday at 11:30 to 12:00 Eastern.
5,SDR,"All right, you got it. What's the best email for you? So it was first name, last name, and then what was the last part there? All right, I'll send that over for 11:30 your time on Friday, and I'll send you over a bit of information so you have a little more context going into that call. Fair enough?"
5,Prospect,"Okay, thanks."
5,SDR,"All right, thanks for your time."
5,Prospect,Appreciate it.
6,Prospect,Hello.
6,SDR,"Hey, this is Heidi. How's your Friday going?"
6,Prospect,"Pretty good, how are you doing?"
6,SDR,"Well, thanks. Not sure if you had a moment, but I had a few questions. Is this a good time?"
6,Prospect,Sure.
6,SDR,"Okay, cool. I see that you head up insights and analytics, and I'm definitely a big fan of using it a lot. Unfortunately, maybe unfortunately, but I know you guys have an online chat with wine experts, that type of thing. Do you look at analytics for those conversations at all or not really?"
6,Prospect,"A little bit, I'd say. We're sort of in the process of getting those learnings. We use Zendesk, so we're kind of downloading that data out of Zendesk and combining it with our internal data. So that's sort of an ongoing process, I'd say."
6,SDR,"Totally. Well, we actually created something to help you out with that and have like a dashboard in one place. We're kind of trying to get some feedback from people in the US. It's pretty popular in Europe already. So I was wondering if that's something you might want to check out. No pressure situation, but just see how it works for the future."
6,Prospect,Sure.
6,SDR,Okay. Would you have time to chat like Monday or Tuesday?
6,Prospect,Mondays are pretty busy for me.
6,SDR,"Oh, yeah, Tuesdays would be better maybe."
6,Prospect,"Yeah, Tuesday would be better. Tuesday morning."
6,SDR,"Let me see, you guys are based in.."
6,Prospect,Yeah. Cool.
6,SDR,"So actually Michael, that could meet with you. He's really awesome. Let me see, Tuesday afternoon."
6,Prospect,I could do Tuesday at 03:00 p.m. Pacific.
6,SDR,"Okay, sweet. Tuesday at three. Cool. So I'll send you an invite for a meeting with Michael. Let me just make sure I got a good email for you. I have.. Okay. I have.. Does that work?"
6,Prospect,Yep.
6,SDR,"Okay, sweet. All right, cool. So hopefully I put your email in there correctly. If I didn't, that's my bad. I'll just let Michael know and you'll be meeting with him, and he'll just go over what our analytics looks like and how it would work with what you already have. And yeah, we can get some feedback from you and see what you think."
6,Prospect,Sounds good.
6,SDR,"Okay, cool. Is there anything that you'd like me to tell him that you want to see specifically? Like, are there certain numbers and metrics that you're looking for so that we can make the most out of your time?"
6,Prospect,"I would say what we're probably most interested in is thinking about the lifetime value of customers who interact with the chat versus those who don't. Like, you know, our chat is—we have customer service, but then we also have a recommendations chat. So there are people who are wine experts that are there to help you non-commission. So it's really.. Obviously, you know, we want them to help people find wine, but not like a salesperson. So just understanding, you know, that interaction."
6,SDR,"Yeah, absolutely. Okay, cool. Well, we have a few cool things with that too. If you ever don't have somebody that's available, we actually have product experts that can jump in to give you full coverage. So I can make sure Michael tells you about how that would work, what metrics you'd be looking at, and what the suite looks like. Okay, awesome. Anybody else that would maybe want to be on the call that would feel left out or..?"
6,Prospect,"No, I think it's fine to do just me for now."
6,SDR,"Okay, well, appreciate your time, hope you have a really great weekend, and I'll let Michael know what you were looking to see, and we look forward to speaking with you."
6,Prospect,"Cool. All right, thanks."
7,Prospect,Bryan speaking.
7,SDR,"Oh, is this you?"
7,Prospect,Yeah. Who's this?
7,SDR,"Oh, dude, this is sick. This is Jacob. I'm cold calling you, but I figured being in sales, you'd be open to it."
7,Prospect,Yeah. Where are you calling from?
7,SDR,"Calling from Service Bell. And the reason I'm calling you specifically is I saw your post on, or your comment on a post about, well, the top ten things that he learned in his early sales role. You specifically mentioned you cared about speed to lead."
7,Prospect,Yeah.
7,SDR,I have the best speed to lead solution on the market. That's why I'm calling you.
7,Prospect,"Okay. Sounds good! Yeah, so what do you guys.. what do you guys do?"
7,SDR,"So I can notify you when a prospect is on your website, like in real time, on an important page. And then you can call them on the website, like video call them instantly on the website and catch them at the perfect time instead of having to email, follow up later, chase them down, etcetera."
7,Prospect,"Interesting, and do they have to prompt that? Like, do you do that through, like, an intercom thing or something?"
7,SDR,"You do not have to. It's kind of like intercom but with video. And it.. It's easier if you see it. In fact, if you go to servicebell.com, I can just call you and show you right now. It might be easier."
7,Prospect,Sure. Yeah. Or even.. Yeah. Do you mind? I'm just.. I'm actually just at lunch right now. Do you mind even just shooting me an email with that link? I'll take a look at it. And let's call maybe on a Friday or something.
7,SDR,"That works for me. I have a post I did on LinkedIn that shows how this works. That got a lot of attention. So I'll tag you in it, if that's cool. And then Friday.. Are you.. You're in Vancouver. Oh, is that.. Is it 01:00 for you? 1:15?"
7,Prospect,"Yes, it is."
7,SDR,"Okay, great. You mentioned Friday morning or afternoon?"
7,Prospect,uhm.. Let's do morning.
7,SDR,Okay. How about 10:00 a.m. your time?
7,Prospect,"Yeah. I'm gonna just look here quickly. Yep, that works."
7,SDR,"Okay, great. And your email?"
7,Prospect,Give me a shot then. It's just my first name.
7,SDR,"Okay, cool. One last question for you is.. So the post I'm going to tag you in is a live cold call where basically I make outbound sales content on LinkedIn and YouTube to kind of teach people how to cold call and also help me generate leads. Do you mind if I use this as part of the content?"
7,Prospect,"Yeah, sure. That's fine."
7,SDR,"Dude, thank you, you're the man. I'll see you Friday and I'll shoot you.. Actually, a LinkedIn DM comment tag."
7,Prospect,Sounds good.
7,SDR,See you.
7,Prospect,"Yeah, sounds good. Thanks."
8,Prospect,Yes.
8,SDR,"Hey, what's going on? It's Landon over here at Anomalo. I know I'm kind of catching you out of the blue here, but I was hoping to tell you why I was giving you a ring."
8,Prospect,"Yeah, but I'm out of the office right now, so you can call me next week. That would be great."
8,SDR,Okay. Is it okay to tell you what it was about? Maybe I don't need to interrupt you again if this isn't in your peer review.
8,Prospect,"Okay, yeah, let me know."
8,SDR,"Yeah. Awesome. So I sent you a few emails. It was elation and Anomalo. We're the data quality monitoring platform that hooks up into elation so you can have better data quality at the table level in your data warehouse. I wasn't sure if that's something that I could call you back next week and talk with you about, or is that not in your peer review as the director of data and analytics?"
8,Prospect,"No.. I'm interested to know how that works. So, yeah, we can have a conversation next week, and probably I will bring the senior manager just to check how that works as well because we are making QA part of governance."
8,SDR,"Yeah, that makes sense. Awesome. What time works best for you next week?"
8,Prospect,I don't know. Try to call me on Wednesday.
8,SDR,Would it be okay just to set up like a quick 15-minute call so you can see the demo live of the elation integration?
8,Prospect,"Give me a minute, please."
8,SDR,Okay.
8,Prospect,I am checking my calendar. Give me a second.
8,SDR,"Yeah, no worries."
8,Prospect,Yeah. If you can do it at 01:00 p.m. MST.
8,SDR,01:00 p.m. Mountain Time. So that would be 12:00 Pacific Standard. Okay. Let me just make sure I have the right email for you.
8,Prospect,Do you have it? or no.
8,SDR,"Oh, yeah, sorry. No, it's loading really quick. Okay, I have it. And that is for 01:00 on Wednesday?"
8,Prospect,Yup!
8,SDR,Okay. I'll get that sent over to you right now.
8,Prospect,Thank you. Bye.
9,SDR,"Hi, this is Nitin calling you from a company called Whatfix. I was connecting with your colleagues at various levels and I came across your name. Do you have a minute to explain why I'm calling you specifically?"
9,Prospect,Yeah.
9,SDR,"We work with a lot of procurement directors like you. So what they say is in the procure-to-pay applications, the employees get stuck while raising a purchase request. You know, that leads to dozens of support requests being open for weeks at a time. I know this is challenging from an adoption standpoint, and we help organizations like Amazon, Facebook, NASA to solve this issue. Would you be open to learning more on how we help these organizations?"
9,Prospect,"Maybe not now because we are already doing an SAP implementation. So we're going through a cycle. So maybe later in the future once we finish with our implementation process, maybe then."
9,SDR,"Got it. We were already having a discussion with James and Murtuza from your team, and we understand that there's a lot of transformation going on. The idea behind this is to just show you what the platform looks like so that while implementing, you get an idea of how this looks."
9,Prospect,"Yeah. To be honest, if you've spoken to James and Murtuza, they should have given you the idea that we are not able to take up any more work for any other software. Because I think the first scope of action would be to actually implement what we have at hand and the work we are doing, and after that we probably can look into different systems. That's probably my opinion on it."
9,SDR,No worries.
9,Prospect,"Yeah, and I wouldn't be comfortable doing anything until I actually know what I'm doing currently and what's changing for me in the future and then look at another software. Because otherwise you can understand, right? It's just like buying anything in life. You buy three cars or four cars. What am I doing with four cars? I don't know, but if I know what I'm doing, then I can go to the next one and I can say, yeah, I'm using this for X kind of service within the business. Otherwise, I end up with four cars in my fleet and my business, and I wouldn't know what to do. So I hope you understand the situation."
9,SDR,"Yeah, exactly. You pointed it out rightly. When would be the right time to get back to you? Would it be two months or three months down the line?"
9,Prospect,"No, we wouldn't finish implementation until next February. That's what I've been given the timeline, next February, March, and once if everything goes well, we'll be finishing then. And then probably the conversation with any.. because I've had other people with different procurement-based softwares reach out as well. But as I said.."
9,SDR,"Got it, got it. So I understand that correctly. Just want to clarify that Whatfix is not a procure-to-pay application, it is an overlay for your SAP applications or any application that you are going to currently purchase. So the challenge that we solve is when you have this transformation. Right. The user adoption, user adapting to the software will be a challenge. We're going to solve that. But I understand your point. It'll be in the long run."
9,Prospect,"No, even user adoption is a good question. Right. Because when you think about it, I would imagine in terms of my first software, which I bought, the users need to be adept at that software, first of all how to understand and use it without actually spending more money. So once that's done, then we probably can look at other solutions."
9,SDR,"Yeah. So that is what exactly we do. So what we basically do is we overlay on top of the application and like a GPS, we give step-by-step guidance to the users in terms of how to use that application. So what we solve, particularly in organizations like Amazon, they were facing similar challenges while they were going through a lot of transformation. Users were not being able to adapt to this application, and there were dozens of support tickets going on and a lot of enablements, trainings, even though there's a forgetting curve where users forget what they learned in the classroom training. Right. So to solve that, what we do is the digital adoption overlay on top of your existing applications. So just curious to understand that, you know, if you could probably spend 15-20 minutes, probably next week just to show you the platform. I mean not in a hurry to take the next step forward just for your understanding purpose. Would you be open to more about that next week?"
9,Prospect,"Next week probably not the best. The week after maybe I could do something. But man, I don't want to set up the wrong expectation that we are looking to buy a software now even if your software is the best. I'm being quite straightforward so that I actually don't waste your time."
9,SDR,No worries.
9,Prospect,"At the same time, I understand you've got to follow up leads and you have to do things. I'm happy to work if you have.. if 15 minutes of my time makes a big difference in terms of following up your leads. I'm happy to do it, but I'm being upfront that I can't actually commit to a software now."
9,SDR,"Does it help? Yeah, it helps. So the main intention is to, you know, just to see if you like the software, probably, yes, it makes sense for us to, you know, get back to you probably by January, February, if it doesn't make sense. And probably, you know.."
9,Prospect,"Yeah, 100% what I said, man, because I, like, I'm happy to look at it if that actually helps within your business and you connect where you report into, and if you can actually tell them, hey, you've actually showcased it to someone happy to do that for 15 minutes. It doesn't make a massive difference in my time as long as it stays up to 15 minutes, and then I have zero commitment of buying it. I won't even trial it or no proof concept, nothing, because I actually can't even control what I'm doing currently because there's quite a lot of things changing on our side. And if you've spoken to Murtuza and James, they would have clearly kind of highlighted that we're going through a journey, and we need to finish the journey to actually understand what else we need to do. I understand that so many things can come up on that, and you can, as you said, you can overlay this for better adoption, but that's something which the team should have thought about when we started the journey, not as we go through the journey, because you're already on the journey, and I just don't want to actually add in more weight to it to actually make all of the other things on the way."
9,SDR,"Got it. Got it. Can we schedule something for probably the 13th or 14th, just a 15-minute chat?"
9,Prospect,Where are you based?
9,SDR,"I'm based in India, but my entire team works in Australia."
9,Prospect,So who's actually going to be showcasing this to me?
9,SDR,"Me and one of my colleagues, Santosh. He will be showcasing that."
9,Prospect,"Okay, so what time do you work?"
9,SDR,"So we usually start very early. Like, I start very early, probably around 5."
9,Prospect,"What time do you work based off, do you work Asian time? Do you work Pacific time or do you work American time?"
9,SDR,"I work for the ANC time, Australia time."
9,Prospect,"Okay, so what time do you start in the morning in India?"
9,SDR,"In India, probably around 05:00 a.m. so that'll be, I guess, 11:30 New Zealand time."
9,Prospect,05:00 a.m. did you say?
9,SDR,"Yeah, 05:00 a.m."
9,Prospect,So that's how many hours difference is it? Six and a half hours. Right. 6 hours difference roughly.
9,SDR,Yeah.
9,Prospect,"Okay. On the 14th. So you want a 15-minute slot, right? I could do it on Thursday the 15th."
9,SDR,Okay.
9,Prospect,"Just a second. I'm sorry, man. Just a sec. At 01:00 p.m. New Zealand time."
9,SDR,Perfect..
9,Prospect,"If you can send me a 15-minute appointment, that'll be great. Please."
9,SDR,"Sure, sure. Awesome. So at 1PM New Zealand time. Okay."
9,Prospect,And you can use this as a reference to talk to Murtuza as well. All right. Because I'm just doing this for courtesy to see what you have to present. So I'm not committing to anything.
9,SDR,"Sure, definitely. Will do that. I mean, I'll make sure that reference is involved."
9,Prospect,"Okay, thanks. Take care. I will just share the invite."
10,Prospect,"Hello, this is Mike speaking."
10,SDR,"Hi Mike, good evening. This is Kreena giving you a call from Multiplier. Can I have a quick moment please?"
10,Prospect,You can.
10,SDR,"Wonderful. I noticed that Jacob has the team spread across Asia Pacific and you may not have entities in all of these locations and sometimes it may complicate tasks like payroll management and, you know, making the payments to the employees in their local currency, providing local benefits itself. Would you be open to exploring a solution that takes care of everything when it comes to tax compliance, labor laws, payroll, and benefits for employees that are working from countries where Jacob does not have an entity?"
10,Prospect,"Yeah, I'd be open to exploring. We do already use a couple of companies called Remote and also Bettersource. But we also do have our own company set up in a number of those countries that we work in. So look, we already do have companies we work with, but I am happy to explore other solutions."
10,SDR,"Oh, wonderful. So you mentioned Remote, which was the other one that you mentioned?"
10,Prospect,It's called Bettersource.
10,SDR,Haven't heard of them. But I'm going to do a little more research and be prepared. When can we schedule this call?
10,Prospect,Monday or Wednesday next week would be good. Or Thursday next week.
10,SDR,What time?
10,Prospect,"Look, in the morning is better for me. On Monday I could do any time between 2:30 and 4:30. On Wednesday I can do any time before 1:30 Australian time. And on Thursday I could do any time before 11:00 Australian time."
10,SDR,Wonderful. Let me just check my product team's availability and send out an invite accordingly.
10,Prospect,"Okay, no problems."
10,SDR,Can I confirm your email address as well? It's just loading up one moment.
10,Prospect,That's okay. It'll be my first and last name. Yep.
10,SDR,Wonderful. So I'll send across an invite and let's catch up there then.
10,Prospect,Perfect. Thanks so much. You have a good day.
11,Prospect,Hello.
11,SDR,"Hey, how are you doing?"
11,Prospect,Ahh.. doing well.. who's this?
11,SDR,"Hey, this is Kabir. I'm actually talking from Growfin and we are a customer."
11,Prospect,"Okay, awesome. How you doing today?"
11,SDR,"I'm doing great. You know, I was just on your LinkedIn and I saw your latest post about how you closed 2000 accounts and, you know, how you are so quick when it comes to support. And I just wanted to say, you know, that's actually really true about your company. And, you know, your team is so quick when it comes to support, especially Tammy. You know, whenever a rep joins, like I just joined two weeks ago and she called me like in the first two days and I was like, amazing. So I was just going through your post and resonated with it so much."
